:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Wavelength	тип растворителя	200,0	201,0	202,0	203,0	204,0	205,0	206,0	207,0	208,0	209,0	210,0	211,0	212,0	213,0	214,0	215,0	216,0	217,0	218,0	219,0	220,0	221,0	222,0	223,0	224,0	225,0	226,0	227,0	228,0	229,0	230,0	231,0	232,0	233,0	234,0	235,0	236,0	237,0	238,0	239,0	240,0	241,0	242,0	243,0	244,0	245,0	246,0	247,0	248,0	249,0	250,0	251,0	252,0	253,0	254,0	255,0	256,0	257,0	258,0	259,0	260,0	261,0	262,0	263,0	264,0	265,0	266,0	267,0	268,0	269,0	270,0	271,0	272,0	273,0	274,0	275,0	276,0	277,0	278,0	279,0	280,0	281,0	282,0	283,0	284,0	285,0	286,0	287,0	288,0	289,0	290,0	291,0	292,0	293,0	294,0	295,0	296,0	297,0	298,0	299,0	300,0	
Green	Fill square	W4.E	4	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	-0,681968472	4,604544488	4,88906773	2,417077281	1,084510219	0,51858972	0,400008259	-0,572561729	-0,380708151	0,744834261	1,180039505	0,9037363	2,665355469	3,500125339	2,868790155	3,85318365	3,802281038	3,652606265	3,690247101	3,51733757	3,150340442	1,100585399	0,759234356	0,521938524	0,471781005	0,824693539	1,280588408	1,656394313	2,015120272	2,259357504	2,805118331	2,737021351	2,643110822	2,564595997	2,490976449	2,425029279	2,356857741	2,302286949	2,251703847	2,212458826	2,180584103	2,148677196	2,103237979	2,055749496	1,999690014	1,949177875	1,891073204	1,836359248	1,794906553	1,749611911	1,711366154	1,684128549	1,657681007	1,640436222	1,630377192	1,618737135	1,622085232	1,634638033	1,660484071	1,695846714	1,733568683	1,780702332	1,814608809	1,840455606	1,878366012	1,931336086	1,993417305	2,063878249	2,13077112	2,184658531	2,217854672	2,240317457	2,23945192	2,239078614	2,232644004	2,227713007	2,222321387	2,220245881	2,225500934	2,220509569	2,221162325	
Green	Fill square	W5.E	4	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	-0,681968472	-0,554513792	-0,517314449	-0,789540645	-0,812003182	-0,809616228	-0,797249744	-0,710375168	-0,71460729	-0,790653065	-0,863177045	-0,711037843	0,008626247	0,321633388	-0,339497309	-0,474576054	-0,416831858	-0,510091704	-0,469321701	-0,463374385	-0,477547415	-0,4869709	-0,482406289	-0,487443922	-0,508317638	-0,535827241	-0,554606781	-0,58479717	-0,6374333	-0,538037954	-0,38096362	-0,351721787	-0,413717843	-0,507959958	-0,655948277	-0,775971202	-0,879609648	-0,925178645	-0,930653787	-0,934270387	-0,937357974	-0,940645374	-0,946142561	-0,951362653	-0,957659289	-0,965366536	-0,973180454	-0,978809245	-0,982551617	-0,985677438	-0,988032437	-0,989410142	-0,988697682	-0,988062514	-0,987589396	-0,98696007	-0,986100984	-0,986951265	-0,987318188	-0,988138791	-0,988916224	-0,990861099	-0,992608158	-0,99455917	-0,996252641	-0,934409424	-0,860013547	-0,781170488	-0,697652656	-0,638004971	-0,585171014	-0,558467966	-0,543218588	-0,5391365	-0,524699524	-0,523804152	-0,512257276	-0,501924926	-0,504413788	-0,495835088	-0,487747204	
Green	Dot	W1.E.W	5	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,403088759	0,055369388	-0,227741674	-0,356005461	-0,406362228	-0,435603181	-0,422333682	-0,407218485	-0,442281866	-0,502427368	-0,593098397	-0,460825294	-0,400969105	-0,569085663	-0,579249264	-0,557956154	-0,547820994	-0,484646259	-0,499957844	-0,557900398	-0,596776801	-0,502904045	-0,598125114	-0,601456904	-0,569729337	-0,464788768	-0,424735779	-0,399363938	-0,362708753	-0,348995261	-0,349410416	-0,325302323	-0,305228354	-0,29694983	-0,300489492	-0,309939249	-0,314576679	-0,320834617	-0,334696208	-0,360139072	-0,406571381	-0,403416233	-0,39240662	-0,379309508	-0,363834637	-0,349171137	-0,334054781	-0,322012943	-0,308222073	-0,296139259	-0,2860907	-0,277227847	-0,265961291	-0,254887827	-0,243481502	-0,230865251	-0,21738707	-0,205576299	-0,195763125	-0,187087716	-0,18109478	-0,174846376	-0,170813254	-0,168926726	-0,166023881	-0,165454805	-0,166923364	-0,170513455	-0,173398691	-0,178299566	-0,18420895	-0,191726976	-0,197693255	-0,200008976	-0,204323385	-0,209432746	-0,217271042	-0,219955395	-0,221963203	-0,224686387	-0,223457038	-0,217332988	-0,209515524	-0,206643286	-0,199767755	-0,193622093	-0,186026839	-0,183321078	-0,176824022	-0,169873729	-0,166786359	
Green	Dot	W2.E.W	5	2,439792439	2,590963191	2,598130884	2,558408518	2,635226445	2,732759064	2,740365909	2,963305849	3,167432733	3,351563629	3,411707615	3,379511436	3,446836407	3,608367301	3,685727302	3,771934256	3,859527655	3,972196953	4,03569727	4,042913472	2,3960971	1,757776129	1,771207127	3,189078727	3,288413053	3,084124366	2,773144657	2,565070116	2,340569834	2,128473552	1,85703829	1,013759334	1,224101786	0,850731249	0,321276922	0,045039832	-0,018474252	-0,082374487	-0,111278817	-0,122028335	-0,135800379	-0,090992122	-0,081812758	-0,076711171	-0,077900824	-0,084051257	-0,097206761	-0,099205682	-0,09142533	-0,086845138	-0,041511898	-0,017323341	-0,004142761	0,006983997	0,0267086	0,0459073	0,065895916	0,089545608	0,116482273	0,1319437	0,137233029	0,146415181	0,165610761	0,182785248	0,207624615	0,232484147	0,260296524	0,273940734	0,282945535	0,291109723	0,301626854	0,308891021	0,312917923	0,309460044	0,304734111	0,299306823	0,292098578	0,277029289	0,264327774	0,251695343	0,233423938	0,214768994	0,20254362	0,180479849	0,166276961	0,152106672	0,134363871	0,112778901	0,093514834	0,087822787	0,076940752	0,062017482	0,062773134	0,068946728	0,055944394	0,055770739	0,063443495	0,056547336	0,047773508	0,047433843	0,054676624	
Green	Dot	W3.E.W	5	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,498047544	-0,419500287	-0,391463599	-0,279552449	0,079942589	-0,165148082	-0,288368011	-0,372083148	-0,346087726	-0,311450838	-0,380960922	-0,368549993	-0,471063979	-0,436061814	-0,410051827	-0,598125187	-0,541137512	-0,452631752	-0,495559732	-0,432372195	-0,375938163	-0,361105345	-0,436447847	-0,437055673	-0,531926085	-0,515161238	-0,479132619	-0,387914089	-0,342376925	-0,304731937	-0,266846691	-0,249742843	-0,244927245	-0,198407055	-0,171099277	-0,15778391	-0,155245958	-0,158827972	-0,160990984	-0,157725682	-0,153414354	-0,149582425	-0,121908358	-0,104234628	-0,092051559	-0,076159778	-0,053375695	-0,034117712	-0,015568696	0,003001156	0,024053503	0,040896205	0,056638704	0,071459768	0,090646823	0,110631839	0,132587394	0,156236778	0,181760537	0,20637669	0,224173383	0,240420795	0,260799651	0,268499429	0,276961691	0,283175056	0,289026311	0,290305324	0,290686203	0,291073518	0,291831354	0,286986502	0,281576733	0,27389568	0,268323291	0,265343778	0,262567292	0,256488131	0,247732504	0,243826523	0,239880819	0,231980244	0,232034636	0,237865698	0,247016357	0,248582323	0,256738497	0,264183528	0,274533778	0,278105184	0,287261481	0,296326819	0,300532631	
Green	Dot	W4.E.W	5	2,738903204	2,933520997	3,15141904	3,302537977	3,224271269	3,155346448	3,124635125	3,123460458	3,041861631	3,07338516	3,062371546	3,113457748	3,018787288	2,79461354	2,651190743	2,559883395	2,405895395	2,24333032	2,022957869	1,581386949	0,57879475	0,526412099	0,712096858	1,563887869	1,915709394	2,143195311	2,355529663	2,5672086	2,735524816	2,760404332	2,623977708	1,573139598	2,008626034	1,580534868	0,873168859	0,398449814	0,281716658	0,176337191	0,128120366	0,104673211	0,100592794	0,192474066	0,222518745	0,23158	0,247657243	0,252443959	0,250249401	0,264054104	0,317269745	0,392708369	0,60701955	0,652442823	0,669158716	0,689584122	0,719949305	0,744504027	0,772536916	0,80041947	0,838362663	0,872303593	0,904100245	0,932825846	0,972426029	1,00844492	1,052455446	1,097372945	1,150063064	1,191685663	1,224247912	1,260894129	1,288684524	1,307140359	1,318254175	1,334574551	1,345732825	1,349639678	1,349967609	1,347199492	1,342561335	1,329933119	1,314083764	1,287364042	1,269841952	1,25759895	1,227349435	1,202563718	1,174857344	1,148980727	1,093352749	1,05559313	1,01523299	0,985616671	0,948118887	0,929189239	0,912322664	0,898788762	0,876620834	0,867705408	0,859302702	0,847176247	0,842314537	
Green	Dot	W5.E.W	5	0,842796931	0,892751088	0,163662998	0,012648041	0,978346464	0,98823166	0,658969317	0,043514186	0,213413317	0,264120486	-0,022481009	-0,167259445	-0,23464157	-0,223770475	-0,203490096	-0,213430786	-0,237297763	-0,196138772	-0,199065089	-0,234301767	-0,392039568	-0,308117169	-0,237047597	-0,22020236	-0,128713904	-0,070015232	-0,006204278	0,113654157	0,138266511	0,088364837	0,026941935	-0,106490228	-0,093083519	-0,164902358	-0,275497793	-0,289151481	-0,282623284	-0,287387362	-0,27273408	-0,273096353	-0,281641471	-0,255937765	-0,242648071	-0,243259275	-0,251838812	-0,268656271	-0,283523834	-0,301846745	-0,321721761	-0,353693461	-0,40776244	-0,419570748	-0,417713698	-0,412840743	-0,404053181	-0,393148847	-0,38418685	-0,374166369	-0,366721294	-0,359233576	-0,351217427	-0,344315012	-0,333725303	-0,321424504	-0,308808024	-0,296735759	-0,282987718	-0,269386785	-0,260222905	-0,245427803	-0,235851264	-0,224855013	-0,217796064	-0,208115253	-0,202199419	-0,193880593	-0,189521367	-0,186430247	-0,187383562	-0,188515428	-0,191617072	-0,198193958	-0,2032521	-0,2056044	-0,215596399	-0,229360115	-0,240329069	-0,254057006	-0,274378049	-0,287188221	-0,301776873	-0,310273787	-0,326909436	-0,332722927	-0,337062869	-0,344662822	-0,353939564	-0,359102511	-0,35799109	-0,365703228	-0,370917456	
Red	Fill diamond	W1.C	6	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,557127957	-0,62989009	-0,494152811	-0,421945868	-0,443315891	-0,412510347	-0,565645767	-0,596756539	-0,559017994	-0,602751079	-0,657512708	-0,520522786	-0,297417417	-0,789926935	-0,81075318	-0,347808935	-0,168500943	-0,110159733	-0,114635397	-0,117358187	-0,131648389	-0,165549059	-0,150161364	-0,17349088	-0,218991143	-0,27214929	-0,336812131	-0,369688486	-0,388692915	-0,415065698	-0,457038101	-0,54235207	-0,553976307	-0,545248053	-0,533963772	-0,516241753	-0,498046498	-0,478184479	-0,461088744	-0,442380287	-0,426321204	-0,41145965	-0,398150392	-0,382430686	-0,364198082	-0,339264308	-0,314331306	-0,287607482	-0,267979201	-0,254061309	-0,244471408	-0,239693824	-0,236395468	-0,233616806	-0,23440024	-0,242658903	-0,2554698	-0,274734671	-0,305806189	-0,332360059	-0,361256364	-0,392099379	-0,43192914	-0,459885467	-0,484443024	-0,512922152	-0,534438652	-0,55209281	-0,564868838	-0,578977533	-0,586088124	-0,592899946	-0,594904984	-0,601915544	-0,603849945	-0,60478834	-0,605764238	-0,608207405	-0,606905504	-0,604924285	-0,605120582	-0,603935029	
Red	Fill diamond	W2.C	6	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	0,294532406	-0,555011222	-0,543370227	-0,515151896	-0,787495608	-0,812003182	-0,809616228	-0,797249744	-0,710375168	-0,71460729	-0,790653065	-0,858288967	-0,690191374	-0,877826969	-0,865420118	-0,738455336	-0,556077449	-0,46646848	-0,402694096	-0,412495592	-0,431130618	-0,441413652	-0,447099934	-0,443941338	-0,42838431	-0,433216103	-0,45040523	-0,463126777	-0,485499936	-0,524988095	-0,588743432	-0,726370635	-0,757523187	-0,761357182	-0,764576547	-0,769548026	-0,773808363	-0,779345511	-0,791393771	-0,810535386	-0,82485366	-0,837225631	-0,849539347	-0,865672797	-0,882233638	-0,901160676	-0,922054421	-0,945461871	-0,961918234	-0,973072238	-0,985677438	-0,988032437	-0,989410142	-0,988697682	-0,988062514	-0,987589396	-0,98696007	-0,983276234	-0,970098191	-0,957483796	-0,942631771	-0,925947185	-0,904942633	-0,888843043	-0,874257556	-0,85627938	-0,847108568	-0,839837773	-0,833784403	-0,829184251	-0,824502381	-0,823222093	-0,821448181	-0,824746581	-0,825884004	-0,827892899	-0,830569044	-0,834889584	-0,836397931	-0,836967036	-0,839484272	-0,842087976	
Red	Fill diamond	W3.C	6	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,612013972	-0,658261149	-0,53573482	-0,495905176	-0,714283286	-0,660463594	-0,648367366	-0,667784345	-0,623410136	-0,669769406	-0,733558204	-0,770547969	-0,624012105	-0,76625311	-0,755891003	-0,422890619	-0,239681201	-0,149679337	-0,059132757	-0,021368138	0,00104201	0,023101109	0,095618567	0,085599463	0,049461635	0,023061145	-0,016544501	-0,065034894	-0,117882277	-0,13287148	-0,159895404	-0,170741764	-0,197607721	-0,21559006	-0,22876111	-0,234359146	-0,242110648	-0,25037846	-0,25889974	-0,270782572	-0,279367352	-0,288532952	-0,296277289	-0,302384447	-0,308030758	-0,315870351	-0,324708167	-0,332881169	-0,334604855	-0,334162065	-0,335807119	-0,337198791	-0,337374447	-0,336691338	-0,332849466	-0,330241785	-0,327008032	-0,321813845	-0,314700867	-0,31091659	-0,309712697	-0,306442966	-0,302589513	-0,29821571	-0,292799756	-0,290749828	-0,292463452	-0,293650757	-0,293517443	-0,298113074	-0,300293445	-0,302807398	-0,301296551	-0,305713313	-0,304829201	-0,303883216	-0,30309735	-0,303565747	-0,301119052	-0,297808879	-0,298110465	-0,29645454	
Red	Fill diamond	W4.C	6	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	0,294532406	-0,0342274	-0,038607964	-0,247427851	-0,525730879	-0,65547277	-0,773731366	-0,797249744	-0,70229645	-0,68741836	-0,770730603	-0,831404539	-0,654454569	-0,779186033	-0,778343495	-0,595218322	-0,405353253	-0,423313073	-0,419761158	-0,408911963	-0,401009898	-0,400781308	-0,395395119	-0,38494846	-0,385431866	-0,390233464	-0,401333011	-0,409133992	-0,42386717	-0,452547433	-0,501512821	-0,604287121	-0,623763809	-0,624166179	-0,624977123	-0,628430325	-0,631061045	-0,637058903	-0,64778289	-0,665457317	-0,677101146	-0,687434158	-0,69714381	-0,710662619	-0,722372791	-0,736078789	-0,750610632	-0,765291076	-0,774240335	-0,77874496	-0,782921724	-0,785337383	-0,783605365	-0,781589784	-0,776826798	-0,770536166	-0,762396347	-0,752588283	-0,739772846	-0,728131911	-0,715096667	-0,699999458	-0,680445995	-0,665562749	-0,6504406	-0,634576765	-0,626958581	-0,620786516	-0,615534089	-0,61359111	-0,611794524	-0,612995167	-0,612331383	-0,618220254	-0,619470431	-0,621950229	-0,624497971	-0,628596807	-0,628878183	-0,627259951	-0,629757197	-0,630253819	
Red	Fill diamond	W5.C	6	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,594954805	-0,666681782	-0,550283365	-0,490498794	-0,730439077	-0,769808027	-0,775595515	-0,76636809	-0,679961168	-0,678355384	-0,707318864	-0,75050685	-0,657101739	-0,795406987	-0,61688079	-0,417072481	-0,466301349	-0,347277356	-0,336645955	-0,418510968	-0,399682994	-0,427917909	-0,423068118	-0,3772754	-0,37233137	-0,382321824	-0,401852294	-0,419904574	-0,445656532	-0,48498355	-0,54706181	-0,6769417	-0,711967457	-0,718401746	-0,722149271	-0,726507127	-0,728388762	-0,730319296	-0,736972806	-0,748916206	-0,756568039	-0,763143978	-0,769200395	-0,778426631	-0,786749186	-0,796991357	-0,808360118	-0,820728243	-0,828666926	-0,834199329	-0,838870825	-0,842015147	-0,843231048	-0,842955087	-0,840866585	-0,838127303	-0,833934579	-0,828856544	-0,822633793	-0,817168923	-0,811682997	-0,805102192	-0,796851659	-0,790173535	-0,784264488	-0,778307697	-0,777362775	-0,776908575	-0,775811663	-0,776274925	-0,774601723	-0,774272196	-0,771809345	-0,77365849	-0,77232805	-0,771830728	-0,772026125	-0,773121688	-0,77231095	-0,770580474	-0,771259802	-0,77147659	
Red	Dot	W1.C.W	7	-0,4209579	-0,407413702	-0,37528065	-0,367949097	-0,405959916	-0,415852331	-0,434321534	-0,42299022	-0,421400248	-0,409927344	-0,425292815	-0,443955279	-0,448538354	-0,441797592	-0,441009115	-0,434864576	-0,431167055	-0,417316435	-0,450894358	-0,51967196	-0,605405477	-0,495390985	-0,457087352	-0,679517658	-0,693130811	-0,690776749	-0,680137007	-0,596560276	-0,603466577	-0,680107696	-0,755150524	-0,639729682	-0,798475816	-0,786738775	-0,710334336	-0,562928549	-0,517053573	-0,486711217	-0,448971811	-0,44340448	-0,456941012	-0,462574967	-0,457294456	-0,461457693	-0,480804025	-0,506747408	-0,524812835	-0,552891319	-0,60139317	-0,676833458	-0,842201091	-0,872220239	-0,870910192	-0,86893396	-0,866213651	-0,861042836	-0,856018087	-0,855262821	-0,858504747	-0,86039413	-0,862055196	-0,864033488	-0,867790422	-0,871000173	-0,87467695	-0,879193473	-0,88401901	-0,887785464	-0,889653699	-0,891472543	-0,89196843	-0,892277981	-0,891376146	-0,890569107	-0,890010641	-0,889364865	-0,888647095	-0,89004609	-0,890822577	-0,892481176	-0,894462666	-0,897551797	-0,899960734	-0,903633531	-0,906538235	-0,912109749	-0,916697864	-0,920012764	-0,920662992	-0,919263227	-0,916999791	-0,913332835	-0,911705035	-0,909007307	-0,906837589	-0,906089408	-0,905652803	-0,904757377	-0,903353599	-0,903918495	-0,903712458	
Red	Dot	W2.C.W	7	0,368770363	0,406853491	-0,064619597	-0,222122476	-0,156866438	-0,12339503	0,481793193	0,526358689	0,259075536	-0,062035322	0,621087869	0,66698706	0,718821871	0,786997354	0,842317137	0,483516924	0,145171791	0,066082168	0,123386615	0,321975413	0,142994557	0,083558536	0,088200355	0,367950265	0,603576199	0,640691459	0,664165183	0,778960417	0,826098738	0,811890353	0,749888652	0,383567253	0,555754641	0,4106624	0,140914648	-0,020090105	-0,042186015	-0,078558681	-0,080242035	-0,071141567	-0,065709585	0,012599568	0,050522617	0,074374053	0,092494639	0,106525509	0,116246582	0,143590062	0,189327283	0,255201987	0,432529454	0,489605318	0,507992586	0,533561237	0,571775719	0,601035762	0,625826891	0,656052742	0,696404552	0,731739039	0,765705949	0,796995042	0,834356854	0,87018689	0,910326122	0,949389885	0,992991089	1,031221059	1,05930671	1,085873866	1,102320351	1,120569673	1,128405269	1,133852829	1,137247486	1,137393797	1,132461827	1,12342812	1,114141774	1,101469301	1,085357991	1,065638967	1,053046978	1,049635695	1,047920623	1,045042607	1,034587679	1,033035248	1,029070391	1,017285554	1,018324562	1,027862489	1,045947147	1,051921633	1,070212044	1,087296959	1,109299896	1,124053332	1,145943748	1,166820525	1,181249189	
Red	Dot	W3.C.W	7	1,172719423	0,341743213	0,358850764	0,243798749	0,298443773	0,465028233	0,593321123	0,431131624	0,194496112	-0,054151722	-0,283349607	-0,471845045	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,498779814	-0,432336443	-0,43906557	-0,274376928	-0,132920676	0,164469089	0,440240117	0,672381987	0,945188242	1,196440095	1,313829981	1,355870752	1,362120405	0,817703252	1,145189037	0,932731656	0,479197808	0,174498927	0,109569264	0,033140381	-0,013368967	-0,032462316	-0,055261268	-0,014527254	-0,026506935	-0,036443254	-0,05487441	-0,085998567	-0,1370719	-0,164573767	-0,183327662	-0,20931176	-0,220170699	-0,225716576	-0,218919938	-0,203441606	-0,179676037	-0,148748134	-0,105511526	-0,057844507	-0,00051617	0,048084165	0,094493614	0,152626956	0,203728018	0,267036235	0,359906035	0,455812241	0,551341654	0,639912638	0,737955748	0,82190888	0,906830097	0,994105523	1,075190046	1,126684196	1,175802994	1,223144923	1,259575595	1,274169505	1,278230928	1,268637948	1,240465549	1,212531829	1,189238693	1,138696192	1,075163741	0,984786038	0,869338485	0,704685445	0,575632523	0,458297371	0,347453341	0,23628148	0,185058459	0,13589167	0,090268172	0,064552177	0,045452846	0,03823677	0,019853925	0,019006981	0,016161323	
Red	Dot	W4.C.W	7	-0,105256205	-0,079044106	-0,024864818	-0,007002355	-0,042528448	-0,043727763	-0,046775193	-0,014704179	-0,002286309	0,032567882	0,039829851	0,055369388	0,079942589	0,117791959	0,146596519	0,196347286	0,236295007	-0,164541963	-0,204921584	-0,241347944	-0,400071557	-0,33122975	-0,282461207	-0,336360459	-0,309291017	-0,291848927	-0,256108131	-0,153418785	-0,142685765	-0,197352424	-0,259988236	-0,298741002	-0,339905062	-0,373417678	-0,415133102	-0,373322136	-0,349332375	-0,342196219	-0,31816937	-0,311311188	-0,318791042	-0,295262554	-0,27971792	-0,27568837	-0,284193876	-0,298255388	-0,308701816	-0,320834617	-0,341904234	-0,373460003	-0,430392555	-0,436371442	-0,43303114	-0,42584265	-0,414637009	-0,403963038	-0,393033686	-0,383992376	-0,374521191	-0,367220198	-0,360986436	-0,355082088	-0,346431055	-0,33611442	-0,324698259	-0,313880138	-0,301466774	-0,290969744	-0,282973416	-0,273163255	-0,264670466	-0,257552968	-0,253272879	-0,250171233	-0,246942848	-0,245047011	-0,244133209	-0,244479725	-0,24612002	-0,248881884	-0,251808065	-0,257320644	-0,262546452	-0,265288921	-0,269143217	-0,274908388	-0,282602119	-0,286209954	-0,289212439	-0,293236786	-0,292502156	-0,288094733	-0,283430209	-0,281398472	-0,276424193	-0,272069603	-0,267584449	-0,267549682	-0,263684945	-0,26083969	-0,259223082	
<colwidths 153 78 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 183 80 80 80 80 80 80 80 80 80 80 80 80 >
