:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Wavelength	тип растворителя	200,0	201,0	202,0	203,0	204,0	205,0	206,0	207,0	208,0	209,0	210,0	211,0	212,0	213,0	214,0	215,0	216,0	217,0	218,0	219,0	220,0	221,0	222,0	223,0	224,0	225,0	226,0	227,0	228,0	229,0	230,0	231,0	232,0	233,0	234,0	235,0	236,0	237,0	238,0	239,0	240,0	241,0	242,0	243,0	244,0	245,0	246,0	247,0	248,0	249,0	250,0	251,0	252,0	253,0	254,0	255,0	256,0	257,0	258,0	259,0	260,0	261,0	262,0	263,0	264,0	265,0	266,0	267,0	268,0	269,0	270,0	271,0	272,0	273,0	274,0	275,0	276,0	277,0	278,0	279,0	280,0	281,0	282,0	283,0	284,0	285,0	286,0	287,0	288,0	289,0	290,0	291,0	292,0	293,0	294,0	295,0	296,0	297,0	298,0	299,0	300,0	
Blue	Fill triang	W4.H	2	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	-0,503191936	-0,244351209	-0,20525807	-0,215294272	-0,304300192	-0,420941225	-0,513613622	-0,525039853	-0,343979246	-0,222134024	-0,131431788	-0,068768045	0,227828328	0,3107	0,274731819	0,222812527	0,258953366	0,187576476	0,184562515	0,214540861	0,248175272	0,408760406	0,487388796	0,539549027	0,60261827	0,666831586	0,724434744	0,817815166	0,971398106	1,182940358	1,712917527	1,883416814	1,963815563	2,023990384	2,119131307	2,197931272	2,247746768	2,269785539	2,284463411	2,288331739	2,279088278	2,257176192	2,209966298	2,154258343	2,072078863	1,96090824	1,793134208	1,66463397	1,537067433	1,384269068	1,256983402	1,136918651	1,036357315	0,935998561	0,871642876	0,820920027	0,796316527	0,79666574	0,808339259	0,833999465	0,875152524	0,929832359	0,978002564	1,030984282	1,086436756	1,128547774	1,169092837	1,207440633	1,241696654	1,279390022	1,321298662	1,362660594	1,394867941	1,417887319	1,430611717	1,436212752	1,423536567	1,406036048	1,384190851	1,351279279	1,331458864	
Blue	Fill triang	W5.H	2	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,55612596	-0,558808918	-0,551279595	-0,548984955	-0,542110026	-0,538407303	-0,525299343	-0,130165152	-0,632596228	-0,681968472	-0,532226661	-0,486173688	-0,76213715	-0,808600347	-0,809616228	-0,797249744	-0,710375168	-0,71460729	-0,790653065	-0,863177045	-0,711037843	-0,890102286	-0,865420118	-0,763390213	-0,595582493	-0,530964474	-0,487960026	-0,440844653	-0,42502686	-0,430094642	-0,423068118	-0,409860993	-0,407981899	-0,420935349	-0,440668679	-0,454174606	-0,476628553	-0,515617661	-0,578430454	-0,715651107	-0,753969194	-0,766019012	-0,776894143	-0,790010093	-0,799762421	-0,810678054	-0,826918568	-0,850314856	-0,866783428	-0,881186172	-0,895092361	-0,91437818	-0,93278423	-0,954128126	-0,965366536	-0,973180454	-0,978809245	-0,982551617	-0,985677438	-0,988032437	-0,989410142	-0,988697682	-0,988062514	-0,987589396	-0,98696007	-0,986100984	-0,986951265	-0,987318188	-0,988138791	-0,988916224	-0,972845937	-0,96018156	-0,948863208	-0,93519048	-0,929190351	-0,923423122	-0,917089769	-0,90928996	-0,900613486	-0,891751949	-0,881120399	-0,873660711	-0,866608844	-0,859928425	-0,85457164	-0,852280544	-0,849825679	-0,848134869	-0,848328185	-0,848507193	
Blue	Dot	W1.H.W	3	2,64409789	2,641982439	2,639115192	2,578576029	2,40757134	2,32977891	2,278925707	2,257759868	2,280824646	2,054148257	1,878930221	1,799702989	1,765306136	1,746637891	1,725882322	1,737077387	1,764313566	1,82801144	1,854153024	1,883630884	1,039727296	0,788904984	0,868881942	1,781070792	1,991932899	2,021559608	2,022482893	2,057774092	2,018595664	1,952329832	1,844818095	1,089038251	1,440015836	1,149447016	0,609413275	0,2568011	0,187027687	0,108762728	0,073342044	0,074021729	0,081872893	0,182096691	0,215144635	0,241673824	0,269857068	0,29242873	0,300045856	0,338137934	0,409532478	0,506151134	0,771385646	0,853404981	0,884934857	0,915406721	0,959849396	0,990346631	1,026146206	1,058919057	1,105119111	1,138258118	1,162978986	1,187922724	1,222305823	1,260765825	1,302285253	1,349124614	1,401378224	1,432851764	1,463128273	1,48660332	1,50963174	1,520638772	1,523444407	1,520959007	1,520898589	1,514509247	1,504387298	1,48951434	1,474019123	1,45438089	1,427983642	1,397302724	1,374533542	1,346193162	1,324109474	1,30030272	1,277657714	1,235696254	1,206094117	1,176564423	1,156414798	1,120803288	1,114426929	1,112172081	1,088518059	1,080271809	1,076916728	1,072783747	1,059082825	1,058166739	1,059284068	
Blue	Dot	W2.H.W	3	1,790850067	1,676018015	1,713894442	1,67776052	1,511243167	1,504211371	1,556901291	1,487286344	1,382801004	1,353634055	1,28953459	1,219889436	1,189037023	1,191197413	1,180437357	1,190509662	1,204866609	1,233535396	1,235776092	1,24205787	0,596672403	0,439120832	0,500166677	1,085758231	1,231966405	1,254928456	1,262319082	1,316432831	1,291172539	1,228318403	1,138490843	0,625783374	0,852554259	0,655492186	0,285259878	0,06105539	0,023416528	-0,024443607	-0,038006413	-0,031467138	-0,022610278	0,06284791	0,096560978	0,121406979	0,144687844	0,163906251	0,171358389	0,202732615	0,256361925	0,325674008	0,524240972	0,588470946	0,611884802	0,627996141	0,659974282	0,680339828	0,701762231	0,715008788	0,74242394	0,758893555	0,768148201	0,773804417	0,794545497	0,811427228	0,829992155	0,852839962	0,874725132	0,883893908	0,889625818	0,89842047	0,894822096	0,890722282	0,881026392	0,871002956	0,864026973	0,851240868	0,835863033	0,820072787	0,802745311	0,7857063	0,765882721	0,741366046	0,726001569	0,702719413	0,690002419	0,674013966	0,657973236	0,626738904	0,607773702	0,591869841	0,579321274	0,555765476	0,554631885	0,548718815	0,539337605	0,535822669	0,531200372	0,52957029	0,519304232	0,527531969	0,526489065	
Blue	Dot	W3.H.W	3	-0,357533145	-0,337444448	-0,281016742	-0,265560193	-0,297747176	-0,315236287	-0,341399212	-0,330793107	-0,326922942	-0,311044471	-0,323223907	-0,335698951	-0,337756686	-0,331646384	-0,331363545	-0,321562563	-0,316178235	-0,301352888	-0,332558716	-0,395807575	-0,521199138	-0,429767763	-0,389831957	-0,555179411	-0,55747112	-0,553295782	-0,542357316	-0,460172493	-0,467760427	-0,542837073	-0,61803994	-0,547409602	-0,677037863	-0,679552529	-0,634975598	-0,51497085	-0,474925676	-0,450079475	-0,415631267	-0,409236702	-0,420081671	-0,416969135	-0,408166941	-0,40905571	-0,423769369	-0,444952762	-0,459629835	-0,48145334	-0,519762276	-0,581008698	-0,711482401	-0,733291416	-0,73038931	-0,727965913	-0,723684773	-0,719016463	-0,714468716	-0,715431173	-0,718886606	-0,7214269	-0,724474984	-0,728202683	-0,731838873	-0,736198594	-0,74181693	-0,747452457	-0,75327969	-0,757818519	-0,762156046	-0,765228419	-0,768045861	-0,770141501	-0,771042623	-0,7715698	-0,772440142	-0,773292899	-0,773773911	-0,77628784	-0,778477446	-0,780571054	-0,783340833	-0,787151187	-0,790173535	-0,793590195	-0,796156637	-0,801560295	-0,805731108	-0,808938943	-0,808910584	-0,806860734	-0,804672658	-0,800325272	-0,797028574	-0,793527282	-0,790708806	-0,787832713	-0,786314831	-0,784517994	-0,782368742	-0,780735423	-0,77917965	
Blue	Dot	W4.H.W	3	0,368770363	0,406853491	0,48743903	0,510113322	0,467909008	0,472251949	0,481793193	0,526358689	0,541311538	0,595682192	0,621087869	0,66698706	0,718821871	0,786997354	0,842317137	0,93495232	1,011152288	0,900628812	0,91160189	0,999150167	0,426964243	0,283317272	0,366304654	0,891479722	1,003749601	1,00513253	1,010039717	1,062190796	1,041702182	0,969326395	0,885777217	0,45702624	0,625022499	0,435653001	0,134819456	-0,033970255	-0,060523111	-0,102147303	-0,107631195	-0,10537569	-0,110114933	-0,047844089	-0,020826878	-0,006806067	-0,001500364	-0,000966019	-0,003488714	0,005383254	0,022821882	0,052380074	0,146675372	0,174269199	0,175004714	0,185931298	0,20345852	0,214608677	0,221821395	0,229755179	0,242450596	0,247749724	0,254461138	0,263610662	0,278691956	0,286046714	0,295903699	0,305122173	0,322201361	0,331182493	0,338873874	0,343711441	0,345335977	0,347359203	0,344079991	0,342435755	0,339481667	0,335786584	0,328349542	0,318225693	0,30674855	0,293487505	0,279724702	0,260037863	0,241455538	0,230838664	0,215596399	0,196706022	0,169911663	0,14834201	0,127139452	0,091855163	0,068181296	0,047759518	0,030707204	0,003117534	-0,0121311	-0,027360205	-0,042101646	-0,060029934	-0,070109174	-0,076380936	-0,092323443	
Blue	Dot	W5.H.W	3	0,342224875	0,406853491	0,48743903	0,510113322	0,467909008	0,472251949	0,481793193	0,526358689	0,541311538	0,595682192	0,621087869	0,66698706	0,718821871	0,786997354	0,842317137	0,93495232	1,011152288	1,103239277	1,16170866	1,22166104	0,613513671	0,477297864	0,563961987	1,255496298	1,456553518	1,520569645	1,578262166	1,665718618	1,670386562	1,638915488	1,58086189	0,943443861	1,301918525	1,086970516	0,621880713	0,294170736	0,238877407	0,16454288	0,140919039	0,152574445	0,173440782	0,309720197	0,369004439	0,40940312	0,452415201	0,494948998	0,525808435	0,588715593	0,693168302	0,848198259	1,241258293	1,351610203	1,377756908	1,41495368	1,469284295	1,503660222	1,529678604	1,560045447	1,598072549	1,6102675	1,625378751	1,643452861	1,676324704	1,692822168	1,715431365	1,736226643	1,759871907	1,759411309	1,760780787	1,75917586	1,745949197	1,718749913	1,696034321	1,676757296	1,651320925	1,624422293	1,591954561	1,557862918	1,522500009	1,491529478	1,461320192	1,43148534	1,401401295	1,38722627	1,371080367	1,356289139	1,328577524	1,315591458	1,300045256	1,273341458	1,259467213	1,255989905	1,261169319	1,254987959	1,257848699	1,260583997	1,272415115	1,265655042	1,270030781	1,283054808	1,283956659	
Green	Fill square	W1.E	4	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	1,908995814	-0,522321269	-0,386696256	-0,223474419	-0,026175141	0,150420352	-0,132106409	-0,524089416	-0,445579984	-0,322232248	-0,086950279	-0,046597991	0,042821771	0,543424964	2,007151639	1,183923964	0,112730832	-0,10714254	-0,372563731	-0,329622463	-0,129850643	-0,068962957	-0,178672687	-0,125784339	0,004640013	0,12573897	0,088830556	-0,091735044	-0,118455427	-0,030983171	0,084740321	0,103189336	0,076440304	0,047700495	0,011538447	-0,018977845	-0,048007094	-0,072583518	-0,100744835	-0,119634905	-0,13304289	-0,145538225	-0,160080022	-0,170204784	-0,180803353	-0,189357807	-0,197060108	-0,201822741	-0,205242505	-0,201433639	-0,196465021	-0,189271944	-0,179442749	-0,166059273	-0,15745599	-0,145556754	-0,134909526	-0,121826797	-0,107203634	-0,085428096	-0,062900949	-0,044834114	-0,032780839	-0,024685694	-0,019258066	-0,006363362	0,010426975	0,031422199	0,048022703	0,059596152	0,066120248	0,068882427	0,063316624	0,058904986	0,056516457	0,054599881	0,051449729	0,052274871	0,0564596	0,049960676	0,046331642	
Green	Fill square	W2.E	4	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	1,908995814	-0,271384674	-0,375450981	-0,158033237	-0,341958234	-0,494575098	-0,553997325	-0,710375168	-0,71460729	-0,644878952	-0,618773152	-0,521765136	-0,430654724	-0,176616702	-0,173818907	-0,219038926	-0,079492521	0,239193931	0,132215941	-0,082818322	-0,061936582	-0,042746431	-0,187441898	-0,185917761	-0,149341749	-0,237758948	-0,26925631	-0,13780398	-0,076648877	0,051520659	0,275309709	0,304797675	0,286888639	0,258468253	0,192169104	0,130978935	0,072899661	0,015094704	-0,063305334	-0,119634905	-0,165606254	-0,208484208	-0,26172604	-0,308462814	-0,360892683	-0,405918382	-0,452071079	-0,479586033	-0,500999143	-0,511305579	-0,511554963	-0,504711041	-0,493939927	-0,475744215	-0,458284151	-0,433604736	-0,4098519	-0,376495472	-0,349608066	-0,315749343	-0,277736493	-0,233300428	-0,2032521	-0,181357563	-0,154534238	-0,131621112	-0,101020155	-0,069908304	-0,042961558	-0,021051377	-0,012199587	-0,011384627	-0,027989752	-0,034817933	-0,044166627	-0,053119089	-0,063690425	-0,064912752	-0,067627433	-0,071327272	-0,071781949	
Green	Fill square	W3.E	4	-0,579282773	-0,564941703	-0,537168666	-0,524118031	-0,552965904	-0,559707474	-0,575343579	-0,555767048	-0,545884155	-0,530546429	-0,541428167	-0,556248284	-0,558936694	-0,551413436	-0,549124099	-0,542257747	-0,538562274	-0,525462214	-0,560789757	-0,632596228	3,204477957	1,571430944	-0,165683352	-0,028786902	-0,066101739	0,314465437	0,496929144	-0,248462536	-0,64878146	-0,327091385	0,902396682	4,25240727	1,879735211	1,782021581	3,392422565	3,408307036	3,802281038	3,999497762	4,010213932	4,180789562	4,456380071	5,338923778	5,396951498	5,418517199	5,395891055	5,306103588	5,180378185	5,018181537	4,768586209	4,46891318	3,428042017	3,222949142	3,21451801	3,194162028	3,111894332	3,04792667	2,999727801	2,956850229	2,888175374	2,846596642	2,813941527	2,786419389	2,753772495	2,734942068	2,71298501	2,694507189	2,69676004	2,709061481	2,714406357	2,738524215	2,758463828	2,784318571	2,814033434	2,848589823	2,867961397	2,896002529	2,923353589	2,956668066	2,9843852	3,012764169	3,050362403	3,088880272	3,115378652	3,146054516	3,17476266	3,212381265	3,261608795	3,314920229	3,35708073	3,396387649	3,423567927	3,450660134	3,459044228	3,473097054	3,493470796	3,501606909	3,510451863	3,526399587	3,53586	3,54204283	3,546088692	
